rank	singular_value	error_estimate
607	639.875	0.028565
608	639.237	0.044276
609	639.162	0.0351906
610	638.368	0.0836681
611	637.945	0.10688
612	637.69	0.263798
613	637.28	0.17724
614	637.064	0.1733
615	636.472	0.138656
616	635.956	0.0508097
617	634.771	0.0118382
618	634.534	0.0812025
619	634.039	0.0763743
620	633.08	0.0359177
621	633.028	0.0108415
622	632.446	0.0114008
623	632.329	0.00826606
624	632.081	0.0276589
625	631.632	0.0191015
626	631.522	0.0592056
627	630.732	0.0840734
628	630.465	0.0543598
629	630.198	0.0957081
630	629.61	0.0676691
631	629.518	0.0744452
632	628.35	0.0669397
633	628.056	0.0572611
634	626.994	0.0358597
635	626.73	0.0368895
636	626.234	0.0836429
637	625.911	0.0571208
638	625.507	0.027398
639	625.477	0.0175123
640	624.467	0.00709989
641	624.38	0.0151721
642	623.905	0.0403872
643	623.749	0.0560576
644	623.218	0.0352315
645	623.025	0.104175
646	622.798	0.0726515
647	622.09	0.0705336
648	621.884	0.0912466
649	621.278	0.119973
650	621.067	0.0954299
651	620.358	0.0931228
652	619.911	0.0671545
653	619.805	0.0572772
654	619.352	0.123382
655	618.592	0.0842405
656	618.116	0.0705241
657	617.834	0.121142
658	617.294	0.13783
659	616.417	0.0840975
660	616.042	0.0349729
661	615.715	0.0610273
662	615.289	0.0457497
663	614.965	0.0298695
664	614.927	0.0185254
665	614.764	0.012295
666	614.324	0.101759
667	613.841	0.0746543
668	613.48	0.0472656
669	613.436	0.0658193
670	612.924	0.118463
671	612.611	0.0754929
672	612.219	0.123347
673	612.039	0.0845135
674	611.214	0.0339321
675	611.096	0.0481531
676	610.999	0.0483728
677	610.479	0.0991076
678	610.275	0.0645612
679	610.004	0.122853
680	609.795	0.100924
681	609.225	0.0402249
682	608.894	0.00725732
683	608.558	0.0808621
684	607.787	0.0704986
685	607.185	0.0446187
686	606.828	0.0687105
687	606.657	0.043776
688	606.161	0.106931
689	605.808	0.0730718
690	605.645	0.0105773
691	605.565	0.0127565
692	605.283	0.124402
693	604.801	0.084539
694	604.344	0.0171008
695	604.194	0.0411285
696	604.002	0.0283423
697	603.728	0.00853961
698	603.55	0.0997545
699	602.797	0.136482
700	602.137	0.0808228
701	601.907	0.114748
702	601.682	0.0978117
703	601.181	0.0410564
704	601.12	0.0506135
705	600.586	0.0351781
706	599.702	0.0258851
707	599.379	0.017029
708	599.143	0.0337897
709	598.636	0.046655
710	598.214	0.0691359
711	597.772	0.0663237
712	597.354	0.0443156
713	597.028	0.0470216
714	596.36	0.047554
715	596.186	0.0255066
716	595.042	0.0388501
717	594.979	0.0290447
718	594.545	0.149472
719	593.877	0.0994046
720	593.777	0.0272419
721	593.293	0.103629
722	592.529	0.0682607
723	592.342	0.0721739
724	591.594	0.0798892
725	591.421	0.0429741
726	591.303	0.00879202
727	590.776	0.0187182
728	590.684	0.104972
729	590.013	0.122177
730	589.524	0.0783321
731	589.091	0.0458096
732	588.667	0.067747
733	588.444	0.0418338
734	588.17	0.0639281
735	587.51	0.0426615
736	587.129	0.0729429
737	586.578	0.0492124
738	586.294	0.0187021
739	585.891	0.0700923
740	585.581	0.0587161
741	585.277	0.0620522
742	584.972	0.038055
743	584.839	0.0183615
744	584.511	0.0636076
745	584.179	0.0808962
746	583.67	0.0794581
747	582.814	0.0511127
748	582.47	0.0365194
749	582.345	0.0372659
750	581.53	0.132582
751	580.892	0.11373
752	580.26	0.0493855
753	580.006	0.034062
754	579.574	0.087763
755	579.137	0.0908494
756	579.016	0.0483504
757	578.923	0.0464323
758	578.058	0.0311909
759	577.717	0.00954678
760	577.646	0.0211352
761	577.279	0.0262236
762	576.986	0.057813
763	576.82	0.0372326
764	576.464	0.0594345
765	576.206	0.0389492
766	575.978	0.0146582
767	575.741	0.0630349
768	575.511	0.0422699
769	575.008	0.0906246
770	574.718	0.0715603
771	574.313	0.0851039
772	573.961	0.0636348
773	573.741	0.0491683
774	573.237	0.0283128
775	573.005	0.0221842
776	572.774	0.0315895
777	572.663	0.0184471
778	571.984	0.00334786
779	571.878	0.0824319
780	571.349	0.0652476
781	571.243	0.0518457
782	570.327	0.12559
783	569.835	0.0805051
784	569.653	0.0121863
785	569.218	0.0416319
786	568.947	0.0268326
787	568.526	0.0217647
788	568.388	0.0167596
789	567.851	0.0701558
790	567.094	0.0558209
791	567.075	0.0281833
792	566.591	0.0687603
793	566.217	0.11082
794	565.864	0.06601
795	565.206	0.105688
796	565.015	0.0777618
797	564.702	0.0397521
798	564.38	0.105918
799	563.66	0.0703024
800	563.016	0.025428
801	562.265	0.0627535
802	562.01	0.0459432
803	561.798	0.0427475
804	561.228	0.0901117
805	560.859	0.0563379
806	560.391	0.0596542
807	559.879	0.0647019
808	559.59	0.0404315
809	559.446	0.0253716
810	559.294	0.102005
811	558.864	0.156212
812	558.264	0.0937263
813	557.933	0.0657803
814	557.516	0.0698014
815	557.187	0.0360961
816	556.469	0.115622
817	555.822	0.0871923
818	555.287	0.122768
819	555.044	0.0767695
820	554.808	0.0318512
821	554.215	0.0202584
822	553.736	0.0379968
823	553.209	0.0626716
824	553.013	0.0405297
825	552.7	0.0684732
826	552.17	0.0764428
827	552.087	0.077065
828	551.955	0.0455134
829	551.442	0.156242
